"module_accession","completeness","pathway_name","pathway_class","matching_ko","missing_ko"
"M00842","66.67","Tetrahydrobiopterin biosynthesis, GTP => BH4","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01495,K01737","K00072"
"M00843","66.67","L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01495,K01737","K17745"
"M00847","66.67","Heme biosynthesis, archaea, siroheme => heme","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K22226,K22225","K22227"
"M00014","64.29","Glucuronate pathway (uronate pathway)","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01195,K03331,K00012,K05351,K00854","K13247,K00699,K00002"
"M00076","60.0","Dermatan sulfate degradation","Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism","K01195,K01197,K01136","K01135,K01217"
"M00099","60.0","Sphingosine biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K04712,K04708,K12349","K04709,K00654"
"M00550","60.0","Ascorbate degradation, ascorbate => D-xylulose-5P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K03079,K02822,K02821,K03475,K03077","K03078,K03476"
"M00573","60.0","Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01935,K01012,K00652","K16593,K19563"
"M00874","58.33","Fatty acid biosynthesis in mitochondria, fungi","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00645,K09458,K07512,K00059","K22541,K11262,K03955"
"M00095","57.14","C5 isoprenoid biosynthesis, mevalonate pathway","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K00626,K00021,K01597,K01823","K01641,K00938,K00869"
"M00129","57.14","Ascorbate biosynthesis, animals, glucose-1P => ascorbate","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01053,K01195,K00012,K00963","K00103,K00699,K00002"
"M00740","54.55","Methylaspartate cycle","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00261,K01681,K01647,K14449,K00024,K00031","K04835,K01846,K19280,K19281,K19282,K19268"
"M00620","53.57","Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate","Pathway modules; Energy metabolism; Carbon fixation","K00177,K00174,K00170,K01902,K00024,K00169,K00176,K00172,K01903,K00175","K01960,K00171,K18210,K18209,K01959,K01678,K01677"
"M00042","50.0","Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K01593,K00505","K00503,K00553"
"M00066","50.0","Lactosylceramide biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K00720","K07553"
"M00077","50.0","Chondroitin sulfate degradation","Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism","K01195,K01197","K01135,K01132"
"M00078","50.0","Heparan sulfate degradation","Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism","K10532,K01195,K01136,K01205","K07964,K01137,K01217,K01565"
"M00085","50.0","Fatty acid elongation in mitochondria","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00022,K07512","K07511,K07508"
"M00089","50.0","Triacylglycerol biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K00655,K13507","K11155,K01080"
"M00094","50.0","Ceramide biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K04712,K04708","K04709,K00654"
"M00098","50.0","Acylglycerol degradation","Pathway modules; Lipid metabolism; Lipid metabolism","K01046","K01054"
"M00100","50.0","Sphingosine degradation","Pathway modules; Lipid metabolism; Lipid metabolism","K01634","K04718"
"M00136","50.0","GABA biosynthesis, prokaryotes, putrescine => GABA","Pathway modules; Amino acid metabolism; Polyamine biosynthesis","K09471,K09472","K09470,K09473"
"M00141","50.0","C1-unit interconversion, eukaryotes","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00600","K00288"
"M00170","50.0","C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type","Pathway modules; Energy metabolism; Carbon fixation","K01610,K01595","K14454,K14455"
"M00174","50.0","Methane oxidation, methanotroph, methane => formaldehyde","Pathway modules; Energy metabolism; Methane metabolism","K10946,K10944,K10945,K14029","K14028"
"M00358","50.0","Coenzyme M biosynthesis","Pathway modules; Energy metabolism; Methane metabolism","K05979,K08097","K13039,K05884,K06034"
"M00366","50.0","C10-C20 isoprenoid biosynthesis, plants","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K13789,K01823","K00787,K14066"
"M00531","50.0","Assimilatory nitrate reduction, nitrate => ammonia","Pathway modules; Energy metabolism; Nitrogen metabolism","K00372,K00360","K00366"
"M00580","50.0","Pentose phosphate pathway, archaea, fructose 6P => ribose 5P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K01807","K08094,K08093"
"M00609","50.0","Cysteine biosynthesis, methionine => cysteine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00789,K01243,K07173","K17462,K17217,K17216"
"M00615","50.0","Nitrate assimilation","Signature modules; Module set; Metabolic capacity","K02575","M00531"
"M00616","50.0","Sulfate-sulfur assimilation","Signature modules; Module set; Metabolic capacity","K23163,K02046,K02047,K02045","M00176"
"M00638","50.0","Salicylate degradation, salicylate => gentisate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K14578,K18243","K18242,K14581"
"M00651","50.0","Vancomycin resistance, D-Ala-D-Lac type","Signature modules; Gene set; Drug resistance","K18346,K07260","K18344,K18345"
"M00702","50.0","Multidrug resistance, efflux pump NorB","Signature modules; Gene set; Drug resistance","K08170","K18906"
"M00714","50.0","Multidrug resistance, efflux pump QacA","Signature modules; Gene set; Drug resistance","K08167","K18938"
"M00718","50.0","Multidrug resistance, efflux pump MexAB-OprM","Signature modules; Gene set; Drug resistance","K03585,K18139,K18138","K18131"
"M00849","50.0","C5 isoprenoid biosynthesis, mevalonate pathway, archaea","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K00626,K00021,K01823","K17942,K06981,K01641,K00869"
"M00114","44.44","Ascorbate biosynthesis, plants, glucose-6P => ascorbate","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K10046,K01810,K01809,K00966","K17497,K10047,K14190,K00225,K17744"
"M00769","44.44","Multidrug resistance, efflux pump MexPQ-OpmE","Signature modules; Gene set; Drug resistance","K19591,K19595","K18304,K19593,K19594"
"M00377","42.86","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)","Pathway modules; Energy metabolism; Carbon fixation","K00297,K01491,K01938","K15023,K00194,K00198,K14138,K05299,K00197"
"M00835","42.86","Pyocyanine biosynthesis, chorismate => pyocyanine","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K13063,K06998,K20940","K20260,K20261,K21103,K20262"
"M00873","41.67","Fatty acid biosynthesis in mitochondria, animals","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00645,K09458,K07512","K03955,K22540,K11539,K13370,K18660"
"M00013","40.0","Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00232,K00140","K07511,K05605,K23146"
"M00841","40.0","Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01495,K11754","K13941,K22101,K13998"
"M00162","37.5","Cytochrome b6f complex","Pathway modules; Energy metabolism; ATP synthesis","K02637,K02634,K02635","K02636,K03689,K02643,K02642,K02640"
"M00541","37.5","Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K04113,K07537,K04112","K04115,K07538,K04114,K07539"
"M00032","36.11","Lysine degradation, lysine => saccharopine => acetoacetyl-CoA","Pathway modules; Amino acid metabolism; Lysine metabolism","K00658,K00382,K00252,K00022","K07515,K00825,K14085,K15791,K14157"
"M00375","35.71","Hydroxypropionate-hydroxybutylate cycle","Pathway modules; Energy metabolism; Carbon fixation","K14534,K00626,K01848,K01849,K05606,K14465","K01964,K15018,K15020,K15038,K15017,K15036,K15016,K14466,K15037,K15019,K15039"
"M00081","33.33","Pectin degradation","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01051","K01184,K01213"
"M00097","33.33","beta-Carotene biosynthesis, GGAP => beta-carotene","Pathway modules; Biosynthesis of terpenoids and polyketides; Other terpenoid biosynthesis","K06443,K02291","K00514,K15744,K09835,K02293"
"M00161","33.33","Photosystem II","Pathway modules; Energy metabolism; Photosynthesis","K02704,K02707","K02705,K02703,K02708,K02706"
"M00309","33.33","Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K03738","K05308,K11395"
"M00367","33.33","C10-C20 isoprenoid biosynthesis, non-plant eukaryotes","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K01823","K00804,K00787"
"M00368","33.33","Ethylene biosynthesis, methionine => ethylene","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00789","K05933,K01762"
"M00596","33.33","Dissimilatory sulfate reduction, sulfate => H2S","Pathway modules; Energy metabolism; Sulfur metabolism","K00958","K11180,K00395,K00394,K11181"
"M00726","33.33","Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF","Signature modules; Gene set; Drug resistance","K14205","K19077,K19078"
"M00861","33.33","beta-Oxidation, peroxisome, VLCFA","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00232","K12405,K07513"
"M00101","30.0","Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol","Pathway modules; Lipid metabolism; Sterol biosynthesis","K05917,K00227,K09828","K13373,K00213,K07750,K00222,K07748,K01824,K01852"
"M00143","30.0","NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria","Pathway modules; Energy metabolism; ATP synthesis","K03939,K03937,K03940","K03934,K03938,K03941,K03935,K03942,K03936,K03943"
"M00152","30.0","Cytochrome bc1 complex","Pathway modules; Energy metabolism; ATP synthesis","K00413,K00411,K00412","K00420,K00415,K00419,K00417,K00416,K00418,K00414"
"M00867","30.0","KDO2-lipid A modification pathway","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K23083,K03760","K23082,K23159,K12977,K09953"
"M00171","28.57","C4-dicarboxylic acid cycle, NAD - malic enzyme type","Pathway modules; Energy metabolism; Carbon fixation","K01595,K01006","K00028,K14455,K14454,K00025,K00814"
"M00037","25.0","Melatonin biosynthesis, tryptophan => serotonin => melatonin","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","K01593","K00669,K00502,K00543"
"M00079","25.0","Keratan sulfate degradation","Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism","K12373","K12309,K01137,K01132"
"M00131","25.0","Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01092","K01106,K01109,K01107"
"M00148","25.0","Succinate dehydrogenase (ubiquinone)","Pathway modules; Energy metabolism; ATP synthesis","K00235","K00236,K00237,K00234"
"M00778","25.0","Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide","Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis","K05555","K05554,K05553,K05552,K05551"
"M00790","25.0","Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K14266","K14257,K19981,K19982"
"M00872","25.0","O-glycan biosynthesis, mannose type (core M3)","Pathway modules; Glycan metabolism; Glycan biosynthesis","K00728","K17547,K18207,K09654"
"M00357","23.33","Methanogenesis, acetate => methane","Pathway modules; Energy metabolism; Methane metabolism","K00625,K00577,K00925","K00578,K00194,K22481,K22482,K00402,K00584,K00399,K00579,K00193,K00401,K00581,K00580,K22480,K00197"
"M00159","22.22","V/A-type ATPase, prokaryotes","Pathway modules; Energy metabolism; ATP synthesis","K02124,K02123","K02120,K02121,K02118,K02119,K02117,K02107,K02122"
"M00154","20.0","Cytochrome c oxidase","Pathway modules; Energy metabolism; ATP synthesis","K02259,K02258,K02257","K02262,K02272,K02264,K02270,K02261,K02267,K02268,K02256,K02266,K02265,K02263,K02260"
"M00158","20.0","F-type ATPase, eukaryotes","Pathway modules; Energy metabolism; ATP synthesis","K02133,K02128,K02125","K02137,K02135,K02129,K02138,K02134,K02141,K02136,K02130,K02132,K02126,K02127,K02140"
"M00372","20.0","Abscisic acid biosynthesis, beta-carotene => abscisic acid","Pathway modules; Biosynthesis of terpenoids and polyketides; Other terpenoid biosynthesis","K15746","K09840,K09842,K09841,K09838"
"M00102","18.18","Ergocalciferol biosynthesis","Pathway modules; Lipid metabolism; Sterol biosynthesis","K05917,K00227","K09829,K09827,K00559,K09831,K00223,K07750,K00222,K07748,K01852"
"M00567","17.08","Methanogenesis, CO2 => methane","Pathway modules; Energy metabolism; Methane metabolism","K00320,K00577,K00200","K01499,K00578,K00202,K00402,K00584,K03389,K00205,K00399,K00201,K03388,K00203,K14128,K14126,K00672,K00579,K03390,K00319,K00581,K14127,K00580,K00401"
"M00128","16.67","Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K06134","K06125,K06127,K00591,K06126"
"M00643","16.67","Multidrug resistance, efflux pump MexXY-OprM","Signature modules; Gene set; Drug resistance","K18139","K18129,K18095,K18094"
"M00696","16.67","Multidrug resistance, efflux pump AcrEF-TolC","Signature modules; Gene set; Drug resistance","K12340","K18140,K18142,K18141"
"M00697","16.67","Multidrug resistance, efflux pump MdtEF-TolC","Signature modules; Gene set; Drug resistance","K12340","K18898,K07690,K18899"
"M00789","16.67","Rebeccamycin biosynthesis, tryptophan => rebeccamycin","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K14266","K19884,K19886,K19887,K19885,K19888,K19889"
"M00850","16.67","Vibrio cholerae pathogenicity signature, cholera toxins","Signature modules; Gene set; Pathogenicity","K10954","K10952,K10928,K10953,K10929,K10948,K11018"
"M00055","15.38","N-glycan precursor biosynthesis","Pathway modules; Glycan metabolism; Glycan biosynthesis","K03842,K00729","K03845,K03850,K03848,K01001,K03843,K03847,K03844,K03846,K07432,K03849,K07441"
"M00074","14.29","N-glycan biosynthesis, high-mannose type","Pathway modules; Glycan metabolism; Glycan biosynthesis","K05535","K05530,K05529,K05531,K01230,K05546,K05528,K05534,K05532,K05533,K23741"
"M00142","14.29","NADH","Pathway modules; Energy metabolism; ATP synthesis","K03884","K03881,K03879,K03882,K03880,K03883,K03878"
"M00875","14.29","Staphyloferrin B biosynthesis, L-serine => staphyloferrin B","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K21949","K23375,K23374,K23371,K21721,K23372,K23373"
"M00030","12.5","Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K00290","K01705,K05824,K00143,K00293,K01655,K17450,K00838"
"M00065","12.5","GPI-anchor biosynthesis, core oligosaccharide","Pathway modules; Glycan metabolism; Glycan biosynthesis","K07542","K03858,K03857,K05283,K05288,K03860,K03434,K03861,K05287,K03859,K07541,K05284,K05286,K05285,K11001"
"M00113","12.5","Jasmonic acid biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K00232","K10525,K10526,K10527,K01723,K07513,K05894,K00454"
"M00543","12.5","Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K15750,K18088","K10222,K08689,K08690,K18087,K00462"
"M00673","12.5","Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C","Pathway modules; Biosynthesis of other secondary metabolites; beta-Lactam biosynthesis","K04127","K18062,K12745,K12743,K04126,K04128,K12744,K18063"
"M00779","12.5","Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin","Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis","K14631","K14630,K05556,K14626,K14628"
"M00039","10.0","Monolignol biosynthesis, phenylalanine/tyrosine => monolignol","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K00588","K09754,K13066,K10775,K09755,K13065,K01904,K00487,K00083,K09753"
"M00104","8.33","Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate","Pathway modules; Lipid metabolism; Sterol biosynthesis","K01796","K00489,K00488,K08764,K12408,K11992,K08748,K12405,K07431,K00251,K10214,K00037"
"M00736","8.33","Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A","Pathway modules; Biosynthesis of other secondary metabolites; beta-Lactam biosynthesis","K05375","K19103,K19104,K19106,K19102,K19105"
"M00146","7.14","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex","Pathway modules; Energy metabolism; ATP synthesis","K11352","K03956,K03950,K03952,K03954,K03953,K03946,K03949,K11353,K03945,K03951,K03948,K03947,K03955"
"M00660","6.82","Xanthomonas spp. pathogenicity signature, T3SS and effectors","Signature modules; Gene set; Plant pathogenicity","K03225,K03228,K03222,K03227,K03223,K03226","K18373,K18381,K18375,K18378,K03230,K18374,K18377,K18376,K18379,K18380,K03229,K03224"
"M00542","6.25","EHEC/EPEC pathogenicity signature, T3SS and effectors","Signature modules; Gene set; Pathogenicity","K03228,K03222,K03227,K03225,K03226","K12784,K16042,K12786,K03230,K03219,K03221,K12787,K12788,K12785,K16041,K03229,K03224"
"M00564","4.35","Helicobacter pylori pathogenicity signature, cagA pathogenicity island","Signature modules; Gene set; Pathogenicity","K03196","K12102,K12089,K12097,K12094,K12103,K12109,K12095,K12110,K12108,K12096,K12105,K12107,K12088,K12106,K12101,K12086,K12098,K12091,K15842,K12093,K12090,K12104"
"M00534","4.17","Naphthalene degradation, naphthalene => salicylate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K14578","K14582,K00152,K14585,K14581,K14579,K14580,K14583,K14584"
"M00848","3.12","Aurachin biosynthesis, anthranilate => aurachin A","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K02078","K21272,K22802,K22799,K21271,K22800,K09460,K22801,K22798,K14245,K14246"
