"module_accession","completeness","pathway_name","pathway_class","matching_ko","missing_ko"
"M00622","75.0","Nicotinate degradation, nicotinate => fumarate","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K15357,K18029,K01799,K13995,K18028","K14974,K18030"
"M00849","75.0","C5 isoprenoid biosynthesis, mevalonate pathway, archaea","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K01823,K00869,K00021,K01641,K00626","K06981,K17942"
"M00740","72.73","Methylaspartate cycle","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00261,K04835,K01846,K14449,K01647,K00024,K01681,K00031,K19268","K19280,K19282,K19281"
"M00027","66.67","GABA (gamma-Aminobutyrate) shunt","Pathway modules; Amino acid metabolism; Other amino acid metabolism","K13524,K00135","K01580"
"M00367","66.67","C10-C20 isoprenoid biosynthesis, non-plant eukaryotes","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K01823,K00787","K00804"
"M00377","66.67","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)","Pathway modules; Energy metabolism; Carbon fixation","K01938,K00297,K00197,K00198,K01491,K00194","K15023,K05299,K14138"
"M00525","66.67","Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K00133,K01586,K01714,K00928,K00215,K01778","K05823,K05822,K00841"
"M00537","66.67","Xylene degradation, xylene => methylbenzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K00141,K00055","K15757,K15758"
"M00538","66.67","Toluene degradation, toluene => benzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K15762,K15765,K00141,K00055","K15763,K15764,K15761,K15760"
"M00627","66.67","beta-Lactam resistance, Bla system","Signature modules; Gene set; Drug resistance","K02171,K17836","K02172"
"M00697","66.67","Multidrug resistance, efflux pump MdtEF-TolC","Signature modules; Gene set; Drug resistance","K07690,K12340","K18898,K18899"
"M00744","66.67","Cationic antimicrobial peptide (CAMP) resistance, protease PgtE","Signature modules; Gene set; Drug resistance","K07637,K07660","K08477"
"M00842","66.67","Tetrahydrobiopterin biosynthesis, GTP => BH4","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01737,K01495","K00072"
"M00843","66.67","L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01737,K01495","K17745"
"M00847","66.67","Heme biosynthesis, archaea, siroheme => heme","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K22226,K22225","K22227"
"M00076","60.0","Dermatan sulfate degradation","Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism","K01136,K01197,K01195","K01135,K01217"
"M00573","60.0","Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01012,K01935,K00652","K19563,K16593"
"M00374","59.62","Dicarboxylate-hydroxybutyrate cycle","Pathway modules; Energy metabolism; Carbon fixation","K00171,K01677,K00240,K01903,K01678,K00626,K01595,K01007,K00241,K00172,K01902,K00024,K00170,K00239","K14465,K00169,K15016,K14534,K14467,K15038"
"M00874","58.33","Fatty acid biosynthesis in mitochondria, fungi","Pathway modules; Lipid metabolism; Fatty acid metabolism","K07512,K09458,K00059,K00645","K03955,K22541,K11262"
"M00129","57.14","Ascorbate biosynthesis, animals, glucose-1P => ascorbate","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01053,K00963,K01195,K00012","K00103,K00002,K00699"
"M00077","50.0","Chondroitin sulfate degradation","Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism","K01195,K01197","K01132,K01135"
"M00078","50.0","Heparan sulfate degradation","Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism","K01136,K01195,K10532,K01205","K07964,K01565,K01137,K01217"
"M00089","50.0","Triacylglycerol biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K13507,K00655","K11155,K01080"
"M00098","50.0","Acylglycerol degradation","Pathway modules; Lipid metabolism; Lipid metabolism","K01046","K01054"
"M00100","50.0","Sphingosine degradation","Pathway modules; Lipid metabolism; Lipid metabolism","K01634","K04718"
"M00141","50.0","C1-unit interconversion, eukaryotes","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K00600","K00288"
"M00170","50.0","C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type","Pathway modules; Energy metabolism; Carbon fixation","K01595,K01610","K14454,K14455"
"M00358","50.0","Coenzyme M biosynthesis","Pathway modules; Energy metabolism; Methane metabolism","K08097,K05979","K13039,K05884,K06034"
"M00365","50.0","C10-C20 isoprenoid biosynthesis, archaea","Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis","K01823","K13787"
"M00531","50.0","Assimilatory nitrate reduction, nitrate => ammonia","Pathway modules; Energy metabolism; Nitrogen metabolism","K00367","K00366"
"M00609","50.0","Cysteine biosynthesis, methionine => cysteine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K01243,K07173,K00789","K17462,K17216,K17217"
"M00615","50.0","Nitrate assimilation","Signature modules; Module set; Metabolic capacity","K02575","M00531"
"M00616","50.0","Sulfate-sulfur assimilation","Signature modules; Module set; Metabolic capacity","K02047,K02045,K02046,K02048","M00176"
"M00624","50.0","Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K18075,K18077,K18074","K18076"
"M00637","50.0","Anthranilate degradation, anthranilate => catechol","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K16319,K16320","K18249,K18248"
"M00651","50.0","Vancomycin resistance, D-Ala-D-Lac type","Signature modules; Gene set; Drug resistance","K07260,K18346","K18344,K18345"
"M00700","50.0","Multidrug resistance, efflux pump AbcA","Signature modules; Gene set; Drug resistance","K18907","K18104"
"M00702","50.0","Multidrug resistance, efflux pump NorB","Signature modules; Gene set; Drug resistance","K18907","K08170"
"M00704","50.0","Tetracycline resistance, efflux pump Tet38","Signature modules; Gene set; Drug resistance","K08168","K18906"
"M00714","50.0","Multidrug resistance, efflux pump QacA","Signature modules; Gene set; Drug resistance","K08167","K18938"
"M00840","50.0","Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K01633,K14652,K00287","K13941,K22099,K22100"
"M00032","44.44","Lysine degradation, lysine => saccharopine => acetoacetyl-CoA","Pathway modules; Amino acid metabolism; Lysine metabolism","K14085,K00382,K00252,K00658","K00825,K07514,K15791,K14157"
"M00114","44.44","Ascorbate biosynthesis, plants, glucose-6P => ascorbate","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K10046,K01810,K17497,K01809","K17744,K00966,K00225,K10047,K14190"
"M00159","44.44","V/A-type ATPase, prokaryotes","Pathway modules; Energy metabolism; ATP synthesis","K02123,K02124,K02119,K02122","K02117,K02120,K02118,K02107,K02121"
"M00835","42.86","Pyocyanine biosynthesis, chorismate => pyocyanine","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K20940,K13063,K06998","K20261,K20260,K21103,K20262"
"M00534","41.67","Naphthalene degradation, naphthalene => salicylate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K14578,K14584,K14585,K14581","K00152,K14580,K14583,K14579,K14582"
"M00873","41.67","Fatty acid biosynthesis in mitochondria, animals","Pathway modules; Lipid metabolism; Fatty acid metabolism","K07512,K09458,K00645","K03955,K13370,K11539,K22540,K18660"
"M00013","40.0","Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K00140,K00248","K05605,K23146,K07511"
"M00099","40.0","Sphingosine biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K12349,K04712","K04709,K00654,K04708"
"M00357","40.0","Methanogenesis, acetate => methane","Pathway modules; Energy metabolism; Methane metabolism","K00925,K00625,K00197,K03390,K00194","K00584,K00193,K00399,K00579,K03388,K00581,K00402,K03389,K00401,K00577,K00578,K00580"
"M00539","40.0","Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K10622,K10621","K18227,K10620,K10619,K16304,K16303,K10623"
"M00841","40.0","Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K11754,K01495","K13998,K13941,K22101"
"M00160","38.46","V-type ATPase, eukaryotes","Pathway modules; Energy metabolism; ATP synthesis","K02154,K02155,K02144,K02148,K02149","K02150,K02152,K02145,K02146,K02153,K02151,K03662,K02147"
"M00567","36.67","Methanogenesis, CO2 => methane","Pathway modules; Energy metabolism; Methane metabolism","K00202,K00201,K11261,K00672,K01499,K00200,K03390","K00399,K00579,K00581,K00203,K00319,K03389,K00401,K00580,K00320,K00584,K03388,K00402,K00577,K00578,K00205"
"M00014","35.71","Glucuronate pathway (uronate pathway)","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01195,K00012,K00854","K13247,K00699,K05351,K03331,K00002"
"M00072","33.33","N-glycosylation by oligosaccharyltransferase","Pathway modules; Glycan metabolism; Glycan biosynthesis","K12666,K07151","K12670,K12667,K12669,K12668"
"M00081","33.33","Pectin degradation","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01051","K01184,K01213"
"M00085","33.33","Fatty acid elongation in mitochondria","Pathway modules; Lipid metabolism; Fatty acid metabolism","K07512","K00022,K07511,K07508"
"M00090","33.33","Phosphatidylcholine (PC) biosynthesis, choline => PC","Pathway modules; Lipid metabolism; Lipid metabolism","K00968","K00994,K00866"
"M00097","33.33","beta-Carotene biosynthesis, GGAP => beta-carotene","Pathway modules; Biosynthesis of terpenoids and polyketides; Other terpenoid biosynthesis","K06443,K02291","K09835,K02293,K00514,K15744"
"M00154","33.33","Cytochrome c oxidase","Pathway modules; Energy metabolism; ATP synthesis","K02267,K02259,K02262,K02258,K02257","K02261,K02264,K02260,K02270,K02266,K02265,K02263,K02256,K02268,K02272"
"M00175","33.33","Nitrogen fixation, nitrogen => ammonia","Pathway modules; Energy metabolism; Nitrogen metabolism","K02588","K02586,K02591"
"M00309","33.33","Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K03738","K11395,K05308"
"M00368","33.33","Ethylene biosynthesis, methionine => ethylene","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","K00789","K01762,K05933"
"M00422","33.33","Acetyl-CoA pathway, CO2 => acetyl-CoA","Pathway modules; Energy metabolism; Methane metabolism","K00194,K00197","K00192,K00195,K00193"
"M00725","33.33","Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon","Signature modules; Gene set; Drug resistance","K03739,K14188,K03740,K03367","K19078,K19077"
"M00726","33.33","Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF","Signature modules; Gene set; Drug resistance","K14205","K19078,K19077"
"M00746","33.33","Multidrug resistance, repression of porin OmpF","Signature modules; Gene set; Drug resistance","K13632","K18513,K09476"
"M00769","33.33","Multidrug resistance, efflux pump MexPQ-OpmE","Signature modules; Gene set; Drug resistance","K19591","K18304,K19593,K19594,K19595"
"M00804","33.33","Complete nitrification, comammox, ammonia => nitrite => nitrate","Pathway modules; Energy metabolism; Nitrogen metabolism","K00370,K00371","K10945,K10535,K10944,K10946"
"M00861","33.33","beta-Oxidation, peroxisome, VLCFA","Pathway modules; Lipid metabolism; Fatty acid metabolism","K00232","K07513,K12405"
"M00543","31.25","Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K18087,K00462","K08690,K08689,K10222,K18088,K15750"
"M00143","30.0","NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria","Pathway modules; Energy metabolism; ATP synthesis","K03939,K03940,K03937","K03942,K03936,K03941,K03943,K03935,K03938,K03934"
"M00152","30.0","Cytochrome bc1 complex","Pathway modules; Energy metabolism; ATP synthesis","K00411,K00413,K00412","K00418,K00419,K00415,K00420,K00416,K00417,K00414"
"M00171","28.57","C4-dicarboxylic acid cycle, NAD - malic enzyme type","Pathway modules; Energy metabolism; Carbon fixation","K01006,K01595","K00028,K00025,K00814,K14455,K14454"
"M00055","26.92","N-glycan precursor biosynthesis","Pathway modules; Glycan metabolism; Glycan biosynthesis","K07441,K03846,K03843","K03848,K03845,K03849,K00729,K03850,K01001,K03842,K03844,K07432,K03847"
"M00079","25.0","Keratan sulfate degradation","Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism","K12373","K12309,K01132,K01137"
"M00094","25.0","Ceramide biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K04712","K04709,K00654,K04708"
"M00131","25.0","Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","K01092","K01107,K01106,K01109"
"M00148","25.0","Succinate dehydrogenase (ubiquinone)","Pathway modules; Energy metabolism; ATP synthesis","K00235","K00234,K00236,K00237"
"M00415","25.0","Fatty acid elongation in endoplasmic reticulum","Pathway modules; Lipid metabolism; Fatty acid metabolism","K15397","K10703,K10251,K10258"
"M00633","25.0","Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","K00131","K11395,K05308,K18126"
"M00778","25.0","Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide","Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis","K05555","K05551,K05553,K05552,K05554"
"M00790","25.0","Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K14266","K19982,K19981,K14257"
"M00801","25.0","dTDP-L-olivose biosynthesis","Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis","K16435","K13319,K13327,K19858"
"M00803","25.0","dTDP-D-angolosamine biosynthesis","Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis","K16435","K13332,K19859,K16436"
"M00856","25.0","Salmonella enterica pathogenicity signature, typhoid toxin","Signature modules; Gene set; Pathogenicity","K11014","K22918,K11023,K19298"
"M00375","21.43","Hydroxypropionate-hydroxybutylate cycle","Pathway modules; Energy metabolism; Carbon fixation","K01849,K01848,K05606,K00626","K14465,K15020,K15016,K14534,K15039,K15018,K01964,K15036,K14466,K15037,K15038,K15019,K15017"
"M00101","20.0","Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol","Pathway modules; Lipid metabolism; Sterol biosynthesis","K05917,K00227","K07748,K00213,K07750,K09828,K01852,K01824,K13373,K00222"
"M00158","20.0","F-type ATPase, eukaryotes","Pathway modules; Energy metabolism; ATP synthesis","K02128,K02126,K02133","K02127,K02138,K02135,K02129,K02132,K02136,K02134,K02137,K02130,K02140,K02125,K02141"
"M00372","20.0","Abscisic acid biosynthesis, beta-carotene => abscisic acid","Pathway modules; Biosynthesis of terpenoids and polyketides; Other terpenoid biosynthesis","K15746","K09841,K09842,K09840,K09838"
"M00652","20.0","Vancomycin resistance, D-Ala-D-Ser type","Signature modules; Gene set; Drug resistance","K18350","K18348,K18856,K18866,K18349"
"M00798","20.0","dTDP-L-mycarose biosynthesis","Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis","K16435","K13317,K13315,K13316,K13318"
"M00799","20.0","dTDP-L-oleandrose biosynthesis","Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis","K16435","K19856,K16438,K19857,K13315"
"M00800","20.0","dTDP-L-megosamine biosynthesis","Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis","K16435","K16438,K13326,K13322,K16436"
"M00802","20.0","dTDP-D-forosamine biosynthesis","Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis","K16435","K13329,K13327,K13328,K13330"
"M00867","20.0","KDO2-lipid A modification pathway","Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism","K03760","K23159,K12977,K23082,K23083,K09953"
"M00065","18.75","GPI-anchor biosynthesis, core oligosaccharide","Pathway modules; Glycan metabolism; Glycan biosynthesis","K05284,K05286","K05285,K03859,K03858,K03434,K03857,K05283,K07542,K03860,K05287,K03861,K11001,K05288,K07541"
"M00102","18.18","Ergocalciferol biosynthesis","Pathway modules; Lipid metabolism; Sterol biosynthesis","K05917,K00227","K00559,K07748,K09829,K09831,K07750,K09827,K00223,K01852,K00222"
"M00128","16.67","Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","K06134","K06125,K06127,K00591,K06126"
"M00418","16.67","Toluene degradation, anaerobic, toluene => benzoyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K07546","K07543,K07540,K07550,K07544,K07547,K07545,K07548,K07549"
"M00789","16.67","Rebeccamycin biosynthesis, tryptophan => rebeccamycin","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K14266","K19884,K19889,K19887,K19888,K19886,K19885"
"M00850","16.67","Vibrio cholerae pathogenicity signature, cholera toxins","Signature modules; Gene set; Pathogenicity","K10954","K10929,K10953,K11018,K10928,K10952,K10948"
"M00147","15.38","NADH dehydrogenase (ubiquinone) 1 beta subcomplex","Pathway modules; Energy metabolism; ATP synthesis","K03965,K03963","K03962,K03959,K03964,K11351,K03961,K03957,K03968,K03960,K03967,K03966,K03958"
"M00860","14.29","Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis","Signature modules; Gene set; Pathogenicity","K22116","K01932,K22976,K07282,K22977,K22981,K22980"
"M00030","12.5","Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","K00290","K01705,K00143,K00838,K05824,K00293,K01655,K17450"
"M00113","12.5","Jasmonic acid biosynthesis","Pathway modules; Lipid metabolism; Lipid metabolism","K00232","K05894,K07513,K10527,K10526,K01723,K10525,K00454"
"M00673","12.5","Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C","Pathway modules; Biosynthesis of other secondary metabolites; beta-Lactam biosynthesis","K04127","K18063,K12745,K04126,K18062,K12744,K04128,K12743"
"M00779","12.5","Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin","Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis","K14631","K05556,K14626,K14630,K14628"
"M00542","11.25","EHEC/EPEC pathogenicity signature, T3SS and effectors","Signature modules; Gene set; Pathogenicity","K03222,K03227,K03226,K03230,K03224,K03229,K03225,K03228,K03221","K12787,K16042,K12786,K12785,K12788,K12784,K03219,K16041"
"M00356","11.11","Methanogenesis, methanol => methane","Pathway modules; Energy metabolism; Methane metabolism","K03390","K04480,K00399,K03388,K14081,K14080,K00402,K03389,K00401"
"M00660","10.23","Xanthomonas spp. pathogenicity signature, T3SS and effectors","Signature modules; Gene set; Plant pathogenicity","K03223,K03222,K03227,K03226,K03230,K03224,K03229,K03225,K03228","K18374,K18377,K18373,K18379,K18381,K18375,K18378,K18380,K18376"
"M00039","10.0","Monolignol biosynthesis, phenylalanine/tyrosine => monolignol","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K00588","K01904,K09755,K09754,K10775,K00083,K00487,K13066,K13065,K09753"
"M00104","8.33","Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate","Pathway modules; Lipid metabolism; Sterol biosynthesis","K01796","K00489,K11992,K00488,K00251,K00037,K07431,K12405,K08748,K12408,K08764,K10214"
"M00563","8.33","Methanogenesis, methylamine/dimethylamine/trimethylamine => methane","Pathway modules; Energy metabolism; Methane metabolism","K03390","K00399,K14082,K03388,K00402,K03389,K00401,K16177"
"M00736","8.33","Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A","Pathway modules; Biosynthesis of other secondary metabolites; beta-Lactam biosynthesis","K05375","K19106,K19103,K19105,K19102,K19104"
"M00146","7.14","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex","Pathway modules; Energy metabolism; ATP synthesis","K11352","K03945,K03948,K03953,K03956,K03950,K03947,K03951,K03946,K03954,K03952,K03955,K11353,K03949"
"M00541","6.25","Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","K04112","K04115,K04113,K07539,K07538,K04114,K07537"
"M00824","6.25","9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core","Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis","K21164","K21161,K21163,K21165,K15314,K21160,K21166,K21167,K21162"
"M00564","4.35","Helicobacter pylori pathogenicity signature, cagA pathogenicity island","Signature modules; Gene set; Pathogenicity","K03196","K12093,K12098,K12104,K12110,K12109,K12091,K12095,K15842,K12096,K12089,K12097,K12088,K12107,K12102,K12086,K12090,K12094,K12106,K12105,K12103,K12108,K12101"
"M00848","3.12","Aurachin biosynthesis, anthranilate => aurachin A","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites","K02078","K22799,K14246,K22798,K22801,K21272,K21271,K14245,K22800,K22802,K09460"
